pl_name,hostname,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist,ra,dec,st_spectype,st_teff,st_mass,st_rad
11 Com b,11 Com,1,Radial Velocity,2007,323.21000000000,1.1780000000,12.20000000,4914.89848585,93.18460000,185.1787793,17.7932516,G8 III,4874.00,2.090000,13.760000
11 UMi b,11 UMi,1,Radial Velocity,2009,516.21997000000,1.5300000000,12.30000000,4684.81420000,125.32100000,229.2745954,71.8239428,K4 III,4213.00,2.780000,29.790000
14 And b,14 And,1,Radial Velocity,2008,186.76000000000,0.7750000000,13.10000000,1131.15130051,75.43920000,352.8241500,39.2358367,K0 III,4888.00,1.780000,11.550000
14 Her b,14 Her,2,Radial Velocity,2002,1766.41000000000,2.8390000000,12.50000000,2828.67282230,17.93230000,242.6021014,43.8163621,K0,5338.00,0.970000,0.930000
16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,798.50000000000,1.6600000000,13.50000000,565.73740000,21.13970000,295.4656422,50.5168243,G3 V,5750.00,1.080000,1.130000
17 Sco b,17 Sco,1,Radial Velocity,2020,578.38000000000,1.4500000000,12.90000000,1373.01871824,124.95300000,243.4620874,-11.8377905,K3 III,4157.00,1.220000,25.920000
18 Del b,18 Del,1,Radial Velocity,2008,982.85000000000,2.4760000000,12.50000000,2926.24614325,76.22200000,314.6078375,10.8391378,G6 III,4980.00,2.100000,8.800000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,,330.0000000000,18.64700000,3000.00000000,139.13500000,242.3762343,-21.0831403,K7 V,4060.00,0.850000,1.313160
24 Boo b,24 Boo,1,Radial Velocity,2018,30.33000000000,0.1940000000,13.90000000,280.64248338,95.98630000,217.1555242,49.8446488,G3 IV,4816.00,1.050000,12.190000
24 Sex b,24 Sex,2,Radial Velocity,2010,452.80000000000,1.3330000000,13.40000000,632.46000000,72.06910000,155.8684866,-0.9023998,K0 IV,5098.00,1.540000,4.900000
24 Sex c,24 Sex,2,Radial Velocity,2010,883.00000000000,2.0800000000,13.90000000,273.32000000,72.06910000,155.8684866,-0.9023998,K0 IV,5098.00,1.540000,4.900000
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,,118.0000000000,13.00000000,1271.31362800,128.48400000,69.3405531,26.8502997,M V,3100.00,0.170000,0.840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,,84.0000000000,12.30000000,4131.79000000,47.20000000,15.8992489,-55.2658291,M5.5/M6,,0.190000,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,,52.0000000000,11.20900000,7786.50000000,33.82810000,20.7128012,-24.6646128,M3.5 V,3530.00,0.400000,0.366450
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,,156.0000000000,16.14096000,4417.83700000,40.08964117,34.8427046,-39.4230767,M6,3064.00,0.108000,0.281000
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018,,1950.0000000000,17.37392009,3616.88727166,66.06130000,42.4851627,-5.9599921,M6 V,2859.00,0.046000,0.315959
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024,,572.0000000000,12.20000000,5720.91132600,117.43500000,59.7911026,20.1599759,,2943.00,0.264996,0.289776
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,,15.0000000000,12.60000000,2383.60000000,120.42398696,70.4371079,23.0308544,M8.5,2936.00,0.019000,0.231916
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024,,266.0000000000,11.90000000,8899.19539600,,165.3295388,-77.5440912,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024,,587.0000000000,12.10000000,6356.56814000,100.86200000,178.7691634,-79.3197558,,3021.00,0.588460,0.600455
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,,46.0000000000,15.69257298,1652.70771640,64.30800000,181.8890906,-39.5484399,M8,2825.00,0.188001,0.218870
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015,406.00000000000,0.9200000000,13.40000000,603.87700000,396.33200000,294.6359173,46.0664076,,29564.00,0.480000,0.203000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024,,7493.0000000000,12.40000000,3813.94088400,34.11540000,321.3662989,-81.6414894,,3592.00,0.643977,0.672832
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,,230.0000000000,12.30000000,3972.87500000,69.57370000,339.1025931,47.8616830,K7 V,4045.00,0.600000,0.641152
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,Imaging,2018,,518.0000000000,11.90000000,9534.85221000,57.23090000,342.5634097,23.4259058,M3,3352.00,0.433173,0.437589
4 UMa b,4 UMa,1,Radial Velocity,2006,270.27000000000,0.8770000000,12.60000000,2511.48007211,73.46030000,130.0528099,64.3280504,K1 III,4415.00,1.234000,18.110000
47 UMa b,47 UMa,3,Radial Velocity,1996,1078.00000000000,2.1000000000,13.20000000,804.08000000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
47 UMa c,47 UMa,3,Radial Velocity,2001,2391.00000000000,3.6000000000,14.20000000,171.62100000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
47 UMa d,47 UMa,3,Radial Velocity,2009,14002.00000000000,11.6000000000,13.50000000,521.22000000,13.79670000,164.8647611,40.4304931,G0V,5872.00,1.060000,1.213340
51 Eri b,51 Eri,1,Imaging,2015,9100.00000000000,10.4000000000,,3464.32963630,29.75750000,69.4007424,-2.4738245,F0 IV,7422.00,1.750000,1.450000
51 Peg b,51 Peg,1,Radial Velocity,1995,4.23079660000,0.0520000000,14.10000000,193.87532827,15.46140000,344.3675399,20.7690958,G5V,5761.00,1.070000,1.190000
55 Cnc b,55 Cnc,7,Radial Velocity,1996,14.65155200000,0.1180000000,13.90000000,263.97850000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc B b,55 Cnc B,7,Radial Velocity,2025,6.79940000000,0.0440000000,1.69000000,3.50000000,12.47730000,133.1679080,28.3152863,M4.5 V,3286.00,0.260000,0.274000
55 Cnc B c,55 Cnc B,7,Radial Velocity,2025,33.74700000000,0.1300000000,2.16000000,5.30000000,12.47730000,133.1679080,28.3152863,M4.5 V,3286.00,0.260000,0.274000
55 Cnc c,55 Cnc,7,Radial Velocity,2004,44.39360000000,0.2470000000,8.51000000,54.47380000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc d,55 Cnc,7,Radial Velocity,2002,4799.00000000000,5.6000000000,13.00000000,1232.49300000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
55 Cnc e,55 Cnc,7,Radial Velocity,2004,0.73654740000,0.0154400000,1.87500000,7.99000000,12.58550000,133.1468373,28.3298154,G8 V,5172.00,0.905000,0.943000
55 Cnc f,55 Cnc,7,Radial Velocity,2007,260.58000000000,0.8020000000,7.59000000,44.81200000,12.58550000,133.1468373,28.3298154,G8 V,5198.00,1.015000,0.980000
6 Lyn b,6 Lyn,1,Radial Velocity,2008,919.86000000000,2.0280000000,13.40000000,597.83523357,54.65990000,97.6960311,58.1611753,K0 IV,4941.00,1.320000,4.940000
61 Vir b,61 Vir,3,Radial Velocity,2009,4.21500000000,0.0502010000,2.11000000,5.10000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
61 Vir c,61 Vir,3,Radial Velocity,2009,38.02100000000,0.2175000000,4.46000000,18.20000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
61 Vir d,61 Vir,3,Radial Velocity,2009,123.01000000000,0.4760000000,5.11000000,22.90000000,8.50332000,199.5964550,-18.3157745,G5 V,5577.00,0.942000,0.963000
7 CMa b,7 CMa,2,Radial Velocity,2011,735.10000000000,1.7580000000,13.40000000,587.98550000,19.81010000,99.1712760,-19.2561808,K1III(+M),4826.00,1.340000,4.870000
7 CMa c,7 CMa,2,Radial Velocity,2019,996.00000000000,2.1530000000,13.90000000,276.51210000,19.81010000,99.1712760,-19.2561808,K1III(+M),4826.00,1.340000,4.870000
70 Vir b,70 Vir,1,Radial Velocity,1996,116.68800000000,0.4810000000,12.60000000,2380.45000000,17.90110000,202.1064898,13.7763085,G5V,5495.00,1.090000,1.890000
75 Cet b,75 Cet,2,Radial Velocity,2012,696.62000000000,1.9120000000,13.30000000,787.89662095,82.96130000,38.0391598,-1.0350269,G3 III,4809.00,1.920000,10.380000
75 Cet c,75 Cet,2,Radial Velocity,2023,2051.62000000000,3.9290000000,13.90000000,289.85950718,82.96130000,38.0391598,-1.0350269,G3 III,4809.00,1.920000,10.380000
8 UMi b,8 UMi,1,Radial Velocity,2015,93.31000000000,0.4620000000,13.50000000,524.41687155,162.55200000,224.2016850,74.9009379,K0,4847.00,1.510000,10.730000
81 Cet b,81 Cet,1,Radial Velocity,2008,1005.57000000000,2.1040000000,13.10000000,1051.05854195,101.26000000,39.4243555,-3.3963607,G5 III,4734.00,1.230000,11.210000
91 Aqr b,91 Aqr,1,Radial Velocity,2013,181.40000000000,0.7000000000,13.10000000,1017.00000000,44.03040000,348.9745031,-9.0878076,K0 III,4665.00,1.400000,11.000000
AB Aur b,AB Aur,1,Imaging,2022,,93.9000000000,12.50000000,2860.45566300,162.12700000,73.9410446,30.5510888,,9770.00,2.400000,2.958870
AB Pic b,AB Pic,1,Imaging,2005,,260.0000000000,12.30000000,4290.50000000,50.04750000,94.8039208,-58.0541184,K2 V,5285.00,0.900000,0.999394
AF Lep b,AF Lep,1,Imaging,2023,8905.00000000000,8.9960000000,13.00000000,1147.36054927,26.85640000,81.7699216,-11.9011752,F8,6140.00,1.218000,1.250000
alf Ari b,alf Ari,1,Radial Velocity,2010,380.80000000000,1.2000000000,13.40000000,572.07000000,20.21019000,31.7932860,23.4624210,K2III,4553.00,1.500000,13.900000
alf Tau b,alf Tau,1,Radial Velocity,2015,628.96000000000,1.4600000000,12.70000000,2056.36010000,20.43320000,68.9801740,16.5092010,K5 III,4055.00,1.130000,45.100000
AT2021ueyL b,AT2021ueyL,1,Microlensing,2025,4168.69000000000,4.0100000000,13.60000000,425.89006538,1040.00000000,324.5450417,26.4665694,M V,3680.00,0.490000,
AU Mic b,AU Mic,4,Transit,2020,8.46344600000,0.0700000000,4.79000000,8.99000000,9.72210000,311.2911369,-31.3424500,M1 V,3540.00,0.635000,0.862000
AU Mic c,AU Mic,4,Transit,2021,18.85902300000,0.1190000000,2.79000000,14.46000000,9.72210000,311.2911369,-31.3424500,M1 V,3540.00,0.635000,0.862000
AU Mic d,AU Mic,4,Transit Timing Variations,2023,12.73596000000,,1.02000000,1.05300000,9.72210000,311.2911369,-31.3424500,M1 V,3678.00,0.510000,0.744000
AU Mic e,AU Mic,4,Radial Velocity,2025,33.11000000000,,4.87000000,21.10000000,9.72210000,311.2911369,-31.3424500,M1 V,3665.00,0.600000,0.820000
b Cen AB b,b Cen A,1,Imaging,2021,1790000.00000000000,556.0000000000,12.40000000,3464.32963630,98.09350000,220.4897992,-37.7936323,B2.5 V,,5.500000,
Barnard b,Barnard's star,4,Radial Velocity,2024,3.15420000000,0.0229000000,0.72000000,0.29900000,1.82655000,269.4486144,4.7379808,M3.5-4 V,3195.00,0.162000,0.185000
Barnard c,Barnard's star,4,Radial Velocity,2025,4.12440000000,0.0274000000,0.74300000,0.33500000,1.82655000,269.4486144,4.7379808,M3.5-4 V,3195.00,0.162000,0.185000
Barnard d,Barnard's star,4,Radial Velocity,2025,2.34020000000,0.0188000000,0.69400000,0.26300000,1.82655000,269.4486144,4.7379808,M3.5-4 V,3195.00,0.162000,0.185000
Barnard e,Barnard's star,4,Radial Velocity,2025,6.73920000000,0.0381000000,0.63700000,0.19300000,1.82655000,269.4486144,4.7379808,M3.5-4 V,3195.00,0.162000,0.185000
BD+03 2562 b,BD+03 2562,1,Radial Velocity,2017,481.90000000000,1.3000000000,12.70000000,2034.11200000,1070.63000000,177.5647268,2.7601075,,4095.00,1.140000,32.350000
BD+05 4868 A b,BD+05 4868 A,1,Transit,2025,1.27186900000,0.0208000000,,6.20000000,43.56870000,326.8614036,6.6053185,K V,4596.00,0.700000,0.690000
BD+14 4559 b,BD+14 4559,1,Radial Velocity,2009,268.94000000000,0.7800000000,13.80000000,330.54320000,49.35200000,318.4010002,14.6893834,K2 V,4864.00,0.490000,0.860000
BD+15 2375 b,BD+15 2375,1,Radial Velocity,2016,153.22000000000,0.5760000000,13.80000000,337.21763000,768.04500000,176.4820239,14.6163182,G5,4649.00,1.080000,8.950000
BD+15 2940 b,BD+15 2940,1,Radial Velocity,2013,137.48000000000,0.5390000000,13.70000000,352.78000000,426.42000000,240.0956400,15.5467507,K0,4796.00,1.100000,14.700000
BD+20 2457 b,BD+20 2457,2,Radial Velocity,2009,379.63000000000,1.4500000000,12.10000000,6807.63000000,1539.71000000,154.1867820,19.8912626,K2 II,4137.00,2.800000,49.000000
BD+20 2457 c,BD+20 2457,2,Radial Velocity,2009,621.99000000000,2.0100000000,12.40000000,3963.17000000,1539.71000000,154.1867820,19.8912626,K2 II,4137.00,2.800000,49.000000
BD+20 274 b,BD+20 274,1,Radial Velocity,2012,578.20000000000,1.3000000000,13.00000000,1334.88600000,1322.51000000,25.9203179,21.0052692,K5 III,4296.00,0.800000,17.300000
BD+20 594 b,BD+20 594,1,Transit,2016,41.68550000000,0.2410000000,2.57807000,22.24810000,179.46100000,53.6511231,20.5990205,G,5766.00,1.670000,1.080000
BD+37 3172 b,BD+37 3172,1,Radial Velocity,2023,1887.76000000000,4.6500000000,12.40000000,3368.98111420,454.25100000,278.8155071,38.1153886,,4500.00,3.750000,50.240000
BD+42 2315 b,BD+42 2315,1,Radial Velocity,2023,123.05000000000,0.5400000000,14.20000000,174.80562385,610.71500000,187.5887597,41.2695674,,4500.00,1.380000,17.850000
BD+45 564 b,BD+45 564,1,Radial Velocity,2021,307.88000000000,0.8300000000,13.60000000,432.24663352,53.62200000,32.9470485,45.9242187,K1,5004.00,0.810000,0.813064
BD+48 738 b,BD+48 738,1,Radial Velocity,2011,392.60000000000,1.0000000000,13.90000000,289.22530000,871.49300000,40.7102869,49.5869395,K0 III,4414.00,0.740000,11.000000
BD+48 740 b,BD+48 740,1,Radial Velocity,2018,733.00000000000,1.7000000000,13.50000000,540.31100000,666.58900000,40.7425426,48.9300579,K3 III,4534.00,1.090000,10.330000
BD+49 828 b,BD+49 828,1,Radial Velocity,2015,2590.00000000000,4.2000000000,13.50000000,508.50000000,442.04200000,45.6406187,49.7299481,K0,4943.00,1.520000,7.600000
BD+55 362 b,BD+55 362,1,Radial Velocity,2021,265.59000000000,0.7800000000,14.00000000,228.83645304,52.56970000,23.9636676,56.6982282,K3,5012.00,0.909000,0.896193
BD+60 1417 b,BD+60 1417,1,Imaging,2021,,1662.0000000000,14.68376472,4767.42610500,44.95430000,190.8875453,60.0143636,K0,4993.00,1.000000,0.797000
BD+63 1405 b,BD+63 1405,1,Radial Velocity,2021,1198.48000000000,2.0600000000,12.40000000,3305.41543280,38.04730000,271.3979337,63.6700064,K0,5000.00,0.816000,0.804724
BD-06 1339 b,BD-06 1339,2,Radial Velocity,2013,3.87280000000,0.0428000000,,1523.03372634,20.26950000,88.2511811,-5.9963378,K7/M0 V,4324.00,0.700000,0.686355
BD-06 1339 c,BD-06 1339,2,Radial Velocity,2013,125.94000000000,0.4350000000,8.38000000,53.00000000,20.26950000,88.2511811,-5.9963378,K7/M0 V,4324.00,0.700000,0.686355
BD-08 2823 b,BD-08 2823,2,Radial Velocity,2009,5.60000000000,0.0600000000,,2948.49413174,41.33420000,150.1971964,-9.5165689,K3 V,4816.00,0.500000,0.710000
BD-08 2823 c,BD-08 2823,2,Radial Velocity,2009,237.60000000000,0.6800000000,12.50000000,104.00000000,41.33420000,150.1971964,-9.5165689,K3 V,4746.00,0.740000,0.710000
BD-10 3166 b,BD-10 3166,1,Radial Velocity,2000,3.48777000000,0.0400000000,14.10000000,187.51970000,84.40690000,164.6191243,-10.7704227,K0 V,5393.00,1.470000,0.910000
BD-11 4672 b,BD-11 4672,2,Radial Velocity,2014,1634.00000000000,2.3600000000,14.10000000,206.58950000,27.16650000,278.3688659,-11.6370481,K7V,4550.00,0.651000,0.639000
BD-11 4672 c,BD-11 4672,2,Radial Velocity,2020,74.20000000000,0.3000000000,4.04000000,15.37000000,27.16650000,278.3688659,-11.6370481,K7V,4550.00,0.651000,0.639000
BD-13 2130 b,BD-13 2130,1,Radial Velocity,2007,714.29999000000,1.6600000000,12.50000000,3108.37740000,925.21400000,114.2884692,-13.9066703,G5 IV/V,4545.00,2.120000,19.170000
BD-14 3065 b,BD-14 3065 A,1,Transit,2024,4.28897310000,0.0656000000,21.59000000,3932.00000000,589.42300000,153.6696689,-15.6428372,,6935.00,1.410000,2.350000
BD-17 63 b,BD-17 63,1,Radial Velocity,2008,655.57000000000,1.3400000000,12.80000000,1639.99458012,34.46030000,7.1413494,-16.2273254,K5 V,4714.00,0.741000,0.740000
BD-210397 b,BD-210397,2,Radial Velocity,2023,1891.00000000000,2.6300000000,14.00000000,214.00000000,23.73240000,33.3024198,-21.1962147,K7 V,4051.00,0.679000,0.747000
BD-210397 c,BD-210397,2,Radial Velocity,2023,6240.00000000000,5.9000000000,12.90000000,1525.57635360,23.73240000,33.3024198,-21.1962147,K7 V,4051.00,0.690000,0.747000
BEBOP-3 b,BEBOP-3,1,Radial Velocity,2025,547.00000000000,1.4440000000,14.20000000,177.34825111,119.05200000,110.9026550,79.1323952,,6033.00,1.083000,1.414000
BEBOP-4 AB b,BEBOP-4 A,1,Radial Velocity,2025,1823.50000000000,3.6340000000,,8358.88710410,234.29400000,192.5772651,26.1595358,G3 V,5701.43,1.507000,2.756450
bet Cnc b,bet Cnc,1,Radial Velocity,2014,605.20000000000,1.7000000000,12.60000000,2479.00000000,89.04720000,124.1286379,9.1853306,K4 III,4092.10,1.700000,47.200000
bet Pic b,bet Pic,3,Imaging,2008,8682.00000000000,10.0700000000,18.49485000,2765.10714090,19.74420000,86.8212337,-51.0661480,A6 V,8038.68,1.789000,1.544160
bet Pic c,bet Pic,3,Radial Velocity,2019,1202.00000000000,2.7000000000,12.50000000,2765.10714090,19.74420000,86.8212337,-51.0661480,A6 V,8038.68,1.789000,1.544160
bet Pic d,bet Pic,3,Imaging,2026,33200.00000000000,26.0000000000,14.12331568,762.78817680,19.74420000,86.8212337,-51.0661480,A6 V,8038.68,1.789000,1.544160
bet UMi b,bet UMi,1,Radial Velocity,2014,522.30000000000,1.4000000000,12.70000000,1938.70000000,38.77472000,222.6764950,74.1555480,K4 III,4126.00,1.400000,38.300000
CD Cet b,CD Cet,1,Radial Velocity,2020,2.29070000000,0.0185000000,1.82000000,3.95000000,8.60715000,48.3530155,4.7751881,M5.0 V,3130.00,0.161000,0.175000
CD-35 2722 b,CD-35 2722,1,Imaging,2011,,67.0000000000,17.37392009,9375.93800650,22.38960000,92.3300147,-35.8255375,M1 V,3689.00,0.400000,0.558549
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011,10037.50000000000,2.6000000000,12.40000000,3337.10000000,23.10000000,224.6208333,10.2286111,,580.50,0.021000,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2020,8040000.00000000000,200.0000000000,20.84870410,2479.06157460,,246.9342770,-23.9811500,M9-L1,2320.00,0.014700,0.245000
CHXR 73 b,CHXR 73,1,Imaging,2006,,210.0000000000,12.30000000,3994.48600000,190.37400000,166.6193985,-77.6258725,M3.5,3099.00,0.350000,
CI Tau c,CI Tau,1,Radial Velocity,2024,25.20000000000,0.1700000000,13.00000000,1144.18226520,157.99800000,68.4667685,22.8416192,K7,3807.00,0.900000,1.880857
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021,402000000.00000000000,7506.0000000000,12.57647635,2383.71305250,10.88640000,117.3009140,-76.7026960,M3 V,3552.00,0.400000,0.366000
CoRoT-1 b,CoRoT-1,1,Transit,2008,1.50895570000,0.0275200000,16.70000000,327.35000000,787.90900000,102.0798591,-3.1021394,G0 V,5950.00,0.950000,1.110000
CoRoT-10 b,CoRoT-10,1,Transit,2010,13.24060000000,0.1055000000,10.87000000,874.00000000,338.38600000,291.0636813,0.7460143,K1 V,5075.00,0.890000,0.790000
CoRoT-11 b,CoRoT-11,1,Transit,2010,2.99433000000,0.0436000000,16.03000000,740.51000000,655.03700000,280.6872998,5.9376586,F6 V,6440.00,1.270000,1.370000
CoRoT-12 b,CoRoT-12,1,Transit,2010,2.82804200000,0.0401600000,16.14000000,291.43800000,1126.37000000,100.7656871,-1.2964437,,5675.00,1.078000,1.116000
CoRoT-13 b,CoRoT-13,1,Transit,2010,4.03519000000,0.0510000000,9.92000000,415.70400000,1148.93000000,102.7211432,-5.0864557,G0 V,5945.00,1.090000,1.010000
CoRoT-14 b,CoRoT-14,1,Transit,2010,1.51214000000,0.0270000000,12.22000000,2415.40000000,1744.60000000,103.4242023,-5.5360385,F9 V,6035.00,1.130000,1.210000
CoRoT-16 b,CoRoT-16,1,Transit,2011,5.35227000000,0.0618000000,13.11000000,170.03200000,732.40900000,278.5246658,-6.0026026,G5 V,5650.00,1.098000,1.190000
CoRoT-17 b,CoRoT-17,1,Transit,2011,3.76810000000,0.0461000000,11.43000000,772.29000000,1176.12000000,278.6992360,-6.6122880,G2 V,5740.00,1.040000,1.590000
CoRoT-18 b,CoRoT-18,1,Transit,2011,1.90006930000,0.0295000000,14.68000000,1102.82000000,764.88900000,98.1724172,-0.0316045,G9 V,5440.00,0.950000,1.000000
CoRoT-19 b,CoRoT-19,1,Transit,2011,3.89713000000,0.0518000000,14.46000000,352.78000000,790.66300000,97.0335983,-0.1707293,F9 V,6090.00,1.210000,1.650000
CoRoT-2 b,CoRoT-2,1,Transit,2008,1.74299350000,0.0279800000,16.43200000,1102.82000000,213.28300000,291.7770457,1.3836634,,5625.00,0.960000,0.906000
CoRoT-20 b,CoRoT-20,2,Transit,2011,9.24285000000,0.0900000000,9.41556000,1366.66900000,844.06100000,97.7204249,0.2268931,G2 V,5880.00,1.140000,1.020000
CoRoT-20 c,CoRoT-20,2,Radial Velocity,2018,1675.00000000000,2.9000000000,12.20000000,5403.11000000,844.06100000,97.7204249,0.2268931,G2 V,5880.00,1.140000,1.020000
CoRoT-21 b,CoRoT-21,1,Transit,2012,2.72474000000,0.0417000000,14.57170000,718.29580000,1398.83419686,101.0526207,-0.2991544,F8 IV,6200.00,1.290000,1.950000
CoRoT-22 b,CoRoT-22,1,Transit,2014,9.75598000000,0.0920000000,4.88000000,12.20000000,627.15800000,280.6671392,6.2191669,G3 V,5939.00,1.099000,1.136000
CoRoT-23 b,CoRoT-23,1,Transit,2011,3.63130000000,0.0480000000,11.77000000,889.90000000,1060.97000000,279.7826586,4.3577516,G0 V,5900.00,1.140000,1.610000
CoRoT-24 b,CoRoT-24,2,Transit,2014,5.11340000000,0.0560000000,3.70000000,5.70000000,591.55500000,101.9225430,-3.7192892,K1 V,4950.00,0.910000,0.860000
CoRoT-24 c,CoRoT-24,2,Transit,2014,11.75900000000,0.0980000000,5.00000000,28.00000000,591.55500000,101.9225430,-3.7192892,K1 V,4950.00,0.910000,0.860000
CoRoT-25 b,CoRoT-25,1,Transit,2013,4.86069000000,0.0578000000,12.11000000,85.81000000,1103.48000000,280.6296561,6.5138223,F9,6040.00,1.090000,1.190000
CoRoT-26 b,CoRoT-26,1,Transit,2013,4.20474000000,0.0526000000,14.12000000,165.26000000,1045.18000000,279.7504991,6.9697828,G5,5590.00,1.090000,1.790000
CoRoT-27 b,CoRoT-27,1,Transit,2014,3.57532000000,0.0476000000,11.28700000,3302.11000000,1010.28000000,278.4958319,5.5383811,G2,5900.00,1.050000,1.080000
CoRoT-28 b,CoRoT-28,1,Transit,2015,5.20851000000,0.0603000000,10.70459500,153.82972000,766.18300000,278.6883216,5.5736911,G8/9 IV,5150.00,1.010000,1.780000
CoRoT-29 b,CoRoT-29,1,Transit,2015,2.85057000000,0.0386000000,10.08810000,270.15550000,806.50700000,278.9020691,6.4795703,K0 V,5260.00,0.970000,0.900000
CoRoT-3 b,CoRoT-3,1,Transit,2008,4.25680000000,0.0578300000,11.32000000,6883.91000000,768.77100000,292.0552827,0.1218359,F3 V,6740.00,1.370000,1.560000
CoRoT-30 b,CoRoT-30,1,Transit,2020,9.06005000000,0.0844000000,11.30988100,921.70700000,1032.23000000,277.6011767,6.8359338,G3 V,5650.00,0.980000,0.910000
CoRoT-31 b,CoRoT-31,1,Transit,2020,4.62941000000,0.0586000000,16.36514000,266.97720000,2005.76000000,94.8207350,-4.4222978,G2 IV,5700.00,1.250000,2.150000
CoRoT-32 b,CoRoT-32,1,Transit,2018,6.71837000000,0.0710000000,6.38913000,47.67450000,576.68300000,100.1951714,9.2573953,G0 VI,5970.00,1.080000,0.790000
CoRoT-35 b,CoRoT-35,1,Transit,2022,3.22748000000,0.0429000000,18.83108758,349.61124770,1123.21000000,289.3143526,-2.7747085,F6 V,6390.00,1.010000,1.650000
CoRoT-36 b,CoRoT-36,1,Transit,2022,5.61653100000,0.0660000000,15.80466279,216.12331676,925.95800000,277.7510149,7.1833465,F3 V,6730.00,1.320000,1.520000
CoRoT-4 b,CoRoT-4,1,Transit,2008,9.20205000000,0.0900000000,13.34000000,228.83000000,726.41200000,102.1946233,-0.6727861,,6190.00,1.160000,1.170000
CoRoT-5 b,CoRoT-5,1,Transit,2009,4.03789620000,0.0494700000,15.55800000,148.42000000,882.47200000,101.2772396,0.8152163,F9 V,6100.00,1.000000,1.186000
CoRoT-6 b,CoRoT-6,1,Transit,2009,8.88659300000,0.0855000000,13.06800000,940.74000000,645.29400000,281.0725563,6.6632062,F9 V,6090.00,1.050000,1.025000
CoRoT-7 b,CoRoT-7,3,Transit,2009,0.85359163000,0.0170160000,1.68135000,4.07660518,159.90600000,100.9561682,-1.0630076,G9 V,5275.00,0.820000,0.830000
CoRoT-7 c,CoRoT-7,3,Radial Velocity,2009,3.69800000000,0.0460000000,2.83000000,8.40000000,159.90600000,100.9561682,-1.0630076,G9 V,5256.00,0.899000,0.864273
CoRoT-7 d,CoRoT-7,3,Radial Velocity,2022,8.96600000000,,4.31000000,17.14200000,159.90600000,100.9561682,-1.0630076,G9 V,5250.00,0.915000,0.838900
CoRoT-8 b,CoRoT-8,1,Transit,2010,6.21229000000,0.0630000000,6.39000000,69.92000000,322.03700000,291.5885696,1.4262972,K1 V,5080.00,0.880000,0.770000
CoRoT-9 b,CoRoT-9,1,Transit,2009,95.27265600000,0.4021000000,11.94879400,266.97720000,412.98000000,280.7866461,6.2040783,G3 V,5625.00,0.960000,0.960000
CT Cha b,CT Cha,1,Imaging,2007,,440.0000000000,24.66000000,5403.00000000,190.72000000,166.0375038,-76.4553693,K5e,4403.00,,1.679694
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,1,Imaging,2025,,2.4800000000,12.20000000,4926.34030850,14.43000000,293.8262172,-15.7725727,Y,,0.024000,
DE CVn b,DE CVn,1,Eclipse Timing Variations,2018,4098.10000000000,5.7500000000,12.40000000,3823.27330161,30.52250000,201.7207198,45.5455449,,3579.00,0.510000,0.424754
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Astrometry,2013,246.36000000000,0.3600000000,11.90000000,9057.77000000,20.77000000,125.7620668,-49.2003008,L1.5,,0.075000,
DH Tau b,DH Tau,1,Imaging,2004,,330.0000000000,30.26430000,3496.00000000,134.84600000,67.4231674,26.5493897,M0.5,4371.00,0.330000,0.270000
