pl_name,hostname,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist,ra,dec,st_spectype,st_teff,st_mass,st_rad
Kepler-445 d,Kepler-445,3,Transit,2015,8.15275000000,0.0439000000,1.25000000,2.10000000,127.20100000,298.7363395,46.4991236,M4,3157.00,0.180000,0.210000
Kepler-446 b,Kepler-446,3,Transit,2015,1.56540900000,0.0182000000,1.50000000,2.86000000,96.33900000,282.2501047,44.9210020,M4,3359.00,0.220000,0.240000
Kepler-446 c,Kepler-446,3,Transit,2015,3.03617900000,0.0283000000,1.11000000,1.41000000,96.33900000,282.2501047,44.9210020,M4,3359.00,0.220000,0.240000
Kepler-446 d,Kepler-446,3,Transit,2015,5.14892100000,0.0403000000,1.35000000,2.39000000,96.33900000,282.2501047,44.9210020,M4,3359.00,0.220000,0.240000
Kepler-447 b,Kepler-447,1,Transit,2015,7.79430132000,0.0769000000,18.49000000,435.41000000,268.04100000,285.2685283,48.5598835,G8 V,5493.00,1.000000,1.050000
Kepler-448 c,KOI-12,2,Transit Timing Variations,2017,2500.00000000000,4.2000000000,12.00000000,6992.26000000,399.39800000,297.4537402,41.0110188,,6635.00,1.500000,1.400000
Kepler-449 b,Kepler-449,2,Transit,2015,12.58242000000,0.1027000000,2.05600000,4.88000000,241.94900000,293.7327870,41.9006366,,5649.18,1.020000,1.467000
Kepler-449 c,Kepler-449,2,Transit,2015,33.67270000000,0.1979000000,2.76400000,8.07000000,241.94900000,293.7327870,41.9006366,,5649.18,1.020000,1.467000
Kepler-45 b,Kepler-45,1,Transit,2011,2.45523900000,0.0300000000,10.76000000,160.49700000,381.94900000,292.8729292,41.0641727,M,3820.00,0.590000,0.550000
Kepler-450 b,Kepler-450,3,Transit,2015,28.45485100000,0.2009200000,6.14000000,19.40000000,455.98200000,295.4865821,51.0135237,,6197.21,1.190000,1.641620
Kepler-450 c,Kepler-450,3,Transit,2015,15.41313500000,0.1335100000,2.62000000,12.50000000,455.98200000,295.4865821,51.0135237,,6197.21,1.190000,1.641620
Kepler-450 d,Kepler-450,3,Transit,2015,7.51464000000,0.0827000000,0.83700000,17.60000000,455.98200000,295.4865821,51.0135237,,6197.21,1.190000,1.641620
Kepler-451 c,2MASS J19383260+4603591,3,Eclipse Timing Variations,2022,1460.00000000000,,13.50000000,511.70373527,396.33200000,294.6359173,46.0664076,,29564.00,0.480000,0.203000
Kepler-451 d,2MASS J19383260+4603591,3,Eclipse Timing Variations,2022,43.00000000000,,13.50000000,559.37799632,396.33200000,294.6359173,46.0664076,,29564.00,0.480000,0.203000
Kepler-452 b,Kepler-452,1,Transit,2015,384.84300000000,1.0460000000,1.63000000,3.29000000,551.72700000,296.0037520,44.2775861,G2,5757.00,1.037000,1.110000
Kepler-453 b,Kepler-453,1,Transit,2015,240.50300000000,0.7903000000,6.20400000,16.00000000,442.84600000,283.2413322,46.3784691,,5527.00,0.944000,0.833000
Kepler-454 b,Kepler-454,3,Transit,2015,10.57375340000,0.0952800000,2.37000000,5.40000000,230.86900000,287.4786474,38.2290751,,5687.00,1.030000,1.066000
Kepler-454 c,Kepler-454,3,Radial Velocity,2015,524.19000000000,1.2870000000,12.90000000,1433.40611557,230.86900000,287.4786474,38.2290751,,5687.00,1.030000,1.066000
Kepler-454 d,Kepler-454,3,Radial Velocity,2023,4073.00000000000,5.1000000000,13.30000000,734.18362017,230.86900000,287.4786474,38.2290751,,5687.00,1.030000,1.066000
Kepler-457 d,KOI-7892,3,Transit,2021,10.69060040000,0.0996000000,2.98467257,9.19000000,1072.30000000,282.3775397,44.6945690,,6474.00,1.148000,1.242000
Kepler-458 c,KIC 9663113,2,Transit,2016,20.74028413000,0.1701200000,4.20000000,16.40000000,1594.74000000,297.0454037,46.3286653,,6117.21,1.150000,2.215620
Kepler-46 b,Kepler-46,3,Transit,2012,33.60134000000,0.1968000000,9.05700000,1907.00000000,777.06000000,289.2687388,42.6041819,,5155.00,0.902000,0.938000
Kepler-46 c,Kepler-46,3,Transit Timing Variations,2012,57.01100000000,0.2799000000,13.50000000,119.49900000,777.06000000,289.2687388,42.6041819,,5155.00,0.902000,0.938000
Kepler-46 d,Kepler-46,3,Transit,2014,6.76658900000,0.0670000000,1.64000000,3.33000000,777.06000000,289.2687388,42.6041819,,5309.00,0.883000,0.790000
Kepler-460 c,KIC 5437945,2,Transit,2016,220.13033570000,0.7531800000,5.52000000,26.10000000,1274.01000000,288.4749028,40.6512848,,6146.00,1.170000,1.260000
Kepler-461 b,Kepler-461,1,Transit,2016,8.31378305900,0.0789500000,2.58000000,7.18000000,692.15800000,292.2490563,46.1647909,,5634.00,0.980000,0.910000
Kepler-462 b,Kepler-462,2,Transit,2016,84.68660000000,0.4172000000,3.00000000,53.90000000,596.62500000,299.8211502,43.8142793,,7500.00,1.590000,1.570000
Kepler-462 c,Kepler-462,2,Transit,2018,207.62000000000,0.7584000000,4.00000000,6.00000000,596.62500000,299.8211502,43.8142793,,7500.00,1.590000,1.570000
Kepler-463 b,Kepler-463,1,Transit,2016,8.98101683300,0.0792500000,3.05000000,9.53000000,394.80400000,298.9368228,44.8578644,,5661.00,0.870000,0.900000
Kepler-464 b,Kepler-464,1,Transit,2016,7.25696522400,0.0793100000,3.30000000,10.90000000,667.60400000,294.8351052,48.9823204,,5933.00,1.210000,1.590000
Kepler-465 b,Kepler-465,1,Transit,2016,9.94067246600,0.0919500000,2.95000000,9.01000000,553.07700000,284.5557853,46.0638865,,6310.00,1.230000,1.290000
Kepler-466 b,Kepler-466,2,Transit,2016,51.07926307000,0.2676900000,2.85000000,8.50000000,530.12200000,295.6486585,48.4955191,,5927.00,1.040000,1.050000
Kepler-466 c,Kepler-466,2,Transit,2016,3.70921384600,0.0465800000,1.25000000,2.10000000,530.12200000,295.6486585,48.4955191,,5927.00,1.040000,1.050000
Kepler-467 b,Kepler-467,1,Transit,2016,24.99324193000,0.1684800000,2.25000000,5.69000000,466.26500000,287.3629145,38.6497341,,5809.00,1.050000,1.370000
Kepler-468 b,Kepler-468,1,Transit,2016,38.47875706700,0.2213000000,13.34000000,,442.87100000,288.9022829,49.3704079,,5498.00,0.960000,0.870000
Kepler-47 b,Kepler-47,3,Transit,2012,49.46430000000,0.2877000000,3.05000000,2.07000000,1025.02000000,295.2978883,46.9204303,,5636.00,0.957000,0.936000
Kepler-47 c,Kepler-47,3,Transit,2012,303.22700000000,0.9638000000,4.65000000,3.17000000,1025.02000000,295.2978883,46.9204303,,5636.00,0.957000,0.936000
Kepler-47 d,Kepler-47,3,Transit,2019,187.36600000000,0.6992000000,7.04000000,19.02000000,1025.02000000,295.2978883,46.9204303,,5636.00,0.957000,0.936000
Kepler-471 b,Kepler-471,1,Transit,2016,5.01423457500,0.0626000000,14.96000000,,1249.41000000,299.0975167,43.4975851,,6733.00,1.490000,1.800000
Kepler-472 b,Kepler-472,1,Transit,2016,4.17625551400,0.0482300000,3.22000000,10.50000000,306.60200000,296.5245187,39.2498503,,4996.00,0.850000,0.780000
Kepler-473 b,Kepler-473,1,Transit,2016,14.55731705000,0.1204800000,4.08000000,15.60000000,905.93700000,286.6300796,38.9455907,,5816.00,1.060000,1.340000
Kepler-474 b,Kepler-474,1,Transit,2016,5.66067293500,0.0609200000,3.06000000,9.59000000,841.49600000,292.3215174,43.8811723,,5785.00,0.990000,1.080000
Kepler-475 b,Kepler-475,1,Transit,2016,3.10550818900,0.0398900000,2.49000000,6.76000000,280.06900000,287.0516940,40.2114232,,5009.00,0.860000,0.790000
Kepler-476 b,Kepler-476,1,Transit,2016,14.00640607000,0.1126000000,3.08000000,9.69000000,813.53500000,295.1637592,43.9630716,,5837.00,1.030000,1.090000
Kepler-477 b,Kepler-477,1,Transit,2016,11.11990653000,0.0911000000,2.07000000,4.94000000,367.00000000,288.0674450,42.3553050,,5240.00,0.870000,0.790000
Kepler-478 b,Kepler-478,1,Transit,2016,13.22175760000,0.1032000000,2.71000000,7.80000000,420.00000000,292.4870063,46.1961870,,5210.00,0.850000,0.800000
Kepler-479 b,Kepler-479,1,Transit,2016,12.49341307000,0.0963600000,2.12000000,5.14000000,344.90100000,291.0218899,37.7698734,,5247.00,0.860000,0.810000
Kepler-48 b,Kepler-48,5,Transit,2012,4.77800000000,0.0539400000,1.88000000,3.94000000,306.73800000,299.1393094,40.9489390,,5194.00,0.880000,0.890000
Kepler-48 c,Kepler-48,5,Transit,2012,9.67395000000,0.0863300000,2.71000000,14.61000000,306.73800000,299.1393094,40.9489390,,5194.00,0.880000,0.890000
Kepler-48 d,Kepler-48,5,Transit,2014,42.89610000000,0.2330200000,2.04000000,7.93000000,306.73800000,299.1393094,40.9489390,,5194.00,0.880000,0.890000
Kepler-48 e,Kepler-48,5,Radial Velocity,2014,982.00000000000,1.8982747480,13.40000000,657.00000000,306.73800000,299.1393094,40.9489390,,5194.00,0.880000,0.890000
Kepler-48 f,Kepler-48,5,Radial Velocity,2023,5219.68185400000,5.7191878770,13.80000000,298.58099680,306.73800000,299.1393094,40.9489390,,5190.00,0.916000,0.836000
Kepler-480 b,Kepler-480,1,Transit,2016,4.91958379500,0.0602400000,2.78000000,8.15000000,847.50800000,294.4639165,49.7650473,,6322.00,1.250000,1.340000
Kepler-481 b,Kepler-481,1,Transit,2016,10.06082567000,0.0892600000,2.50000000,6.80000000,813.72400000,291.9069862,49.2620760,,5802.00,1.010000,1.090000
Kepler-482 b,Kepler-482,1,Transit,2016,56.35418576000,0.2578700000,2.36000000,6.17000000,313.06800000,296.8229326,48.1077628,,4871.00,0.750000,0.720000
Kepler-483 b,Kepler-483,1,Transit,2016,30.22910400000,0.1947100000,3.21000000,10.40000000,860.35500000,291.6467764,41.8846843,,6346.00,1.280000,1.470000
Kepler-484 b,Kepler-484,1,Transit,2016,10.04556931300,0.0903600000,2.28000000,5.82000000,382.13600000,284.3942844,46.2491109,,5668.00,0.960000,0.870000
Kepler-485 b,Kepler-485,1,Transit,2016,3.24325979600,0.0440100000,14.41000000,,1140.95000000,294.9963415,50.4700458,,5958.00,1.070000,1.090000
Kepler-487 b,Kepler-487,3,Transit,2016,15.35876840300,0.1181900000,11.42000000,,872.34300000,295.2872318,41.2220033,,5444.00,0.910000,0.880000
Kepler-487 c,Kepler-487,3,Transit,2016,38.65199760000,0.2186400000,2.68000000,7.65000000,872.34300000,295.2872318,41.2220033,,5444.00,0.910000,0.880000
Kepler-487 d,Kepler-487,3,Transit,2021,2.41839003600,0.0344500000,2.77513568,8.12000000,872.34300000,295.2872318,41.2220033,,5422.00,0.874000,0.887000
Kepler-489 b,Kepler-489,1,Transit,2016,17.27629611900,0.1210900000,7.72000000,46.10000000,369.64500000,290.8332412,38.1841851,,5014.00,0.820000,0.760000
Kepler-49 b,Kepler-49,4,Transit,2012,7.20000000000,0.0592900000,2.57900000,9.77000000,311.22200000,292.2945208,40.5918123,M1 V,4095.60,0.607000,0.618000
Kepler-49 c,Kepler-49,4,Transit,2012,10.91000000000,0.0782100000,2.44400000,8.38000000,311.22200000,292.2945208,40.5918123,M1 V,4095.60,0.607000,0.618000
Kepler-49 d,Kepler-49,4,Transit,2014,2.57654900000,0.0310000000,1.60000000,235.98200000,311.22200000,292.2945208,40.5918123,M1 V,4252.00,0.549000,0.559000
Kepler-49 e,Kepler-49,4,Transit,2014,18.59610800000,0.1160000000,1.56000000,1.03815000,311.22200000,292.2945208,40.5918123,M1 V,4252.00,0.549000,0.559000
Kepler-490 b,Kepler-490,1,Transit,2016,3.26869515400,0.0453000000,11.65000000,,1523.00000000,295.0256620,46.9559536,,6045.00,1.080000,1.120000
Kepler-491 b,Kepler-491,1,Transit,2016,4.22538451200,0.0519100000,8.92000000,59.00000000,630.78500000,287.1305782,42.3501533,,5582.00,1.040000,1.030000
Kepler-493 b,Kepler-493,1,Transit,2016,3.00387658100,0.0439000000,15.13000000,,1745.77000000,295.3075252,38.8815716,,6457.00,1.360000,1.540000
Kepler-495 b,Kepler-495,2,Transit,2016,3.41303622100,0.0427000000,5.23000000,23.80000000,658.92400000,285.9307362,39.0981201,,5346.00,0.860000,0.830000
Kepler-495 c,Kepler-495,2,Transit,2021,5.89660978300,0.0614000000,1.21936414,1.98000000,658.92400000,285.9307362,39.0981201,,5392.00,0.888000,1.087000
Kepler-496 b,Kepler-496,1,Transit,2016,8.30864937000,0.0747000000,2.32000000,5.99000000,605.27400000,291.6408978,41.2411044,,5293.00,0.860000,0.820000
Kepler-497 b,Kepler-497,1,Transit,2016,3.57320367100,0.0457000000,6.04000000,30.40000000,1291.98000000,290.7659557,38.9279468,,5834.00,1.090000,1.110000
Kepler-498 b,Kepler-498,1,Transit,2016,9.61375356000,0.0897000000,3.03000000,9.43000000,938.84400000,290.3581592,44.5187225,,5744.00,0.980000,0.960000
Kepler-499 b,Kepler-499,1,Transit,2016,5.63252845300,0.0598000000,2.17000000,5.35000000,556.72600000,295.1099549,43.9151012,,5312.00,0.870000,0.830000
Kepler-5 b,Kepler-5,1,Transit,2009,3.54846570000,0.0538000000,15.98403400,670.93913000,899.77700000,299.4070341,44.0350387,,6297.00,1.374000,1.793000
Kepler-50 b,Kepler-50,2,Transit,2012,7.81254000000,0.0770000000,1.71000000,8.90000000,250.11000000,288.1009312,50.0336844,,6225.00,1.240000,1.580000
Kepler-50 c,Kepler-50,2,Transit,2012,9.37647000000,0.0870000000,2.17000000,8.20000000,250.11000000,288.1009312,50.0336844,,6225.00,1.240000,1.580000
Kepler-500 b,Kepler-500,1,Transit,2016,8.50832439800,0.0836100000,2.58000000,7.18000000,807.48000000,295.9513472,43.8519884,,5813.00,1.020000,1.030000
Kepler-501 b,Kepler-501,2,Transit,2016,5.64067757200,0.0627000000,4.30000000,17.10000000,1125.24000000,297.2014919,41.7301534,,5904.00,1.030000,1.040000
Kepler-501 c,Kepler-501,2,Transit,2021,3.62276005700,0.0467000000,1.68119739,3.47000000,1125.24000000,297.2014919,41.7301534,,5794.00,1.032000,1.216000
Kepler-502 b,Kepler-502,1,Transit,2016,4.28686431000,0.0535000000,4.77000000,20.40000000,1591.04000000,291.0801330,43.8601911,,6125.00,1.150000,1.220000
Kepler-504 b,Kepler-504,1,Transit,2016,9.54927542200,0.0646000000,1.59000000,3.15000000,99.06880000,284.9219608,45.9723265,,3519.00,0.330000,0.330000
Kepler-505 b,Kepler-505,1,Transit,2016,27.52197994000,0.1445000000,2.60000000,7.27000000,283.41000000,287.8579530,42.5426758,,3931.00,0.550000,0.530000
Kepler-506 b,Kepler-506,1,Transit,2016,6.88340550000,0.0743700000,2.73000000,7.90000000,228.43900000,284.6351885,40.7198296,,6236.00,1.190000,1.190000
Kepler-507 b,Kepler-507,1,Transit,2016,3.56809692600,0.0478100000,1.30000000,5.69692195,391.64400000,297.0188074,50.4090460,,6113.00,1.160000,1.320000
Kepler-508 b,Kepler-508,1,Transit,2016,25.30889748000,0.1727400000,1.64000000,3.33000000,324.61800000,295.4042546,42.9812789,,6025.00,1.160000,1.250000
Kepler-509 b,Kepler-509,1,Transit,2016,41.74600392000,0.2370200000,2.49000000,6.76000000,332.44300000,289.6643940,48.7061650,,6060.00,1.100000,1.200000
Kepler-51 b,Kepler-51,4,Transit,2012,45.15400000000,0.2514000000,7.10000000,2.10000000,783.83100000,296.4797624,49.9376486,,6018.00,1.040000,0.940000
